train1.py
epoch    batch    train time [sec]    validation accuracy
    1       97                8.07                 0.1678
    2      194               16.11                 0.7607
    3      291               24.17                 0.8775
    4      388               32.25                 0.9015
    5      485               40.30                 0.9123
    6      582               48.34                 0.9201
    7      679               56.38                 0.9270
    8      776               64.43                 0.9339
    9      873               72.48                 0.9372
   10      970               80.55                 0.9401
   11     1067               88.61                 0.9404
   12     1164               96.65                 0.9427
   13     1261              104.71                 0.9442
   14     1358              112.77                 0.9459
   15     1455              120.81                 0.9455
   16     1552              128.90                 0.9462
   17     1649              136.95                 0.9469
   18     1746              144.99                 0.9486
   19     1843              153.05                 0.9486
   20     1940              161.12                 0.9487

train2.py -- change to torch.optim
